Code Example,Language,Design Pattern,Source,Unnamed: 4,embedding
"from __future__ import annotations
from abc import ABC, abstractmethod


class AbstractFactory(ABC):
    """"""
    The Abstract Factory interface declares a set of methods that return
    different abstract products. These products are called a family and are
    related by a high-level theme or concept. Products of one family are usually
    able to collaborate among themselves. A family of products may have several
    variants, but the products of one variant are incompatible with products of
    another.
    """"""
    @abstractmethod
    def create_product_a(self) -> AbstractProductA:
        pass

    @abstractmethod
    def create_product_b(self) -> AbstractProductB:
        pass


class ConcreteFactory1(AbstractFactory):
    """"""
    Concrete Factories produce a family of products that belong to a single
    variant. The factory guarantees that resulting products are compatible. Note
    that signatures of the Concrete Factory's methods return an abstract
    product, while inside the method a concrete product is instantiated.
    """"""

    def create_product_a(self) -> AbstractProductA:
        return ConcreteProductA1()

    def create_product_b(self) -> AbstractProductB:
        return ConcreteProductB1()


class ConcreteFactory2(AbstractFactory):
    """"""
    Each Concrete Factory has a corresponding product variant.
    """"""

    def create_product_a(self) -> AbstractProductA:
        return ConcreteProductA2()

    def create_product_b(self) -> AbstractProductB:
        return ConcreteProductB2()


class AbstractProductA(ABC):
    """"""
    Each distinct product of a product family should have a base interface. All
    variants of the product must implement this interface.
    """"""

    @abstractmethod
    def useful_function_a(self) -> str:
        pass


""""""
Concrete Products are created by corresponding Concrete Factories.
""""""


class ConcreteProductA1(AbstractProductA):
    def useful_function_a(self) -> str:
        return ""The result of the product A1.""


class ConcreteProductA2(AbstractProductA):
    def useful_function_a(self) -> str:
        return ""The result of the product A2.""


class AbstractProductB(ABC):
    """"""
    Here's the the base interface of another product. All products can interact
    with each other, but proper interaction is possible only between products of
    the same concrete variant.
    """"""
    @abstractmethod
    def useful_function_b(self) -> None:
        """"""
        Product B is able to do its own thing...
        """"""
        pass

    @abstractmethod
    def another_useful_function_b(self, collaborator: AbstractProductA) -> None:
        """"""
        ...but it also can collaborate with the ProductA.

        The Abstract Factory makes sure that all products it creates are of the
        same variant and thus, compatible.
        """"""
        pass


""""""
Concrete Products are created by corresponding Concrete Factories.
""""""


class ConcreteProductB1(AbstractProductB):
    def useful_function_b(self) -> str:
        return ""The result of the product B1.""

    """"""
    The variant, Product B1, is only able to work correctly with the variant,
    Product A1. Nevertheless, it accepts any instance of AbstractProductA as an
    argument.
    """"""

    def another_useful_function_b(self, collaborator: AbstractProductA) -> str:
        result = collaborator.useful_function_a()
        return f""The result of the B1 collaborating with the ({result})""


class ConcreteProductB2(AbstractProductB):
    def useful_function_b(self) -> str:
        return ""The result of the product B2.""

    def another_useful_function_b(self, collaborator: AbstractProductA):
        """"""
        The variant, Product B2, is only able to work correctly with the
        variant, Product A2. Nevertheless, it accepts any instance of
        AbstractProductA as an argument.
        """"""
        result = collaborator.useful_function_a()
        return f""The result of the B2 collaborating with the ({result})""


def client_code(factory: AbstractFactory) -> None:
    """"""
    The client code works with factories and products only through abstract
    types: AbstractFactory and AbstractProduct. This lets you pass any factory
    or product subclass to the client code without breaking it.
    """"""
    product_a = factory.create_product_a()
    product_b = factory.create_product_b()

    print(f""{product_b.useful_function_b()}"")
    print(f""{product_b.another_useful_function_b(product_a)}"", end="""")


if __name__ == ""__main__"":
    """"""
    The client code can work with any concrete factory class.
    """"""
    print(""Client: Testing client code with the first factory type:"")
    client_code(ConcreteFactory1())

    print(""\n"")

    print(""Client: Testing the same client code with the second factory type:"")
    client_code(ConcreteFactory2())",Python,Abstract Factory,Refactoring Guru,https://refactoring.guru/design-patterns/abstract-factory/python/example#example-0,"[ 0.96951091 -0.15322821  1.15272617 ...  0.08374629 -0.67826492
 -1.3245815 ]"
"from __future__ import annotations
from abc import ABC, abstractmethod
from typing import Any


class Builder(ABC):
    """"""
    The Builder interface specifies methods for creating the different parts of
    the Product objects.
    """"""

    @property
    @abstractmethod
    def product(self) -> None:
        pass

    @abstractmethod
    def produce_part_a(self) -> None:
        pass

    @abstractmethod
    def produce_part_b(self) -> None:
        pass

    @abstractmethod
    def produce_part_c(self) -> None:
        pass


class ConcreteBuilder1(Builder):
    """"""
    The Concrete Builder classes follow the Builder interface and provide
    specific implementations of the building steps. Your program may have
    several variations of Builders, implemented differently.
    """"""

    def __init__(self) -> None:
        """"""
        A fresh builder instance should contain a blank product object, which is
        used in further assembly.
        """"""
        self.reset()

    def reset(self) -> None:
        self._product = Product1()

    @property
    def product(self) -> Product1:
        """"""
        Concrete Builders are supposed to provide their own methods for
        retrieving results. That's because various types of builders may create
        entirely different products that don't follow the same interface.
        Therefore, such methods cannot be declared in the base Builder interface
        (at least in a statically typed programming language).

        Usually, after returning the end result to the client, a builder
        instance is expected to be ready to start producing another product.
        That's why it's a usual practice to call the reset method at the end of
        the `getProduct` method body. However, this behavior is not mandatory,
        and you can make your builders wait for an explicit reset call from the
        client code before disposing of the previous result.
        """"""
        product = self._product
        self.reset()
        return product

    def produce_part_a(self) -> None:
        self._product.add(""PartA1"")

    def produce_part_b(self) -> None:
        self._product.add(""PartB1"")

    def produce_part_c(self) -> None:
        self._product.add(""PartC1"")


class Product1():
    """"""
    It makes sense to use the Builder pattern only when your products are quite
    complex and require extensive configuration.

    Unlike in other creational patterns, different concrete builders can produce
    unrelated products. In other words, results of various builders may not
    always follow the same interface.
    """"""

    def __init__(self) -> None:
        self.parts = []

    def add(self, part: Any) -> None:
        self.parts.append(part)

    def list_parts(self) -> None:
        print(f""Product parts: {', '.join(self.parts)}"", end="""")


class Director:
    """"""
    The Director is only responsible for executing the building steps in a
    particular sequence. It is helpful when producing products according to a
    specific order or configuration. Strictly speaking, the Director class is
    optional, since the client can control builders directly.
    """"""

    def __init__(self) -> None:
        self._builder = None

    @property
    def builder(self) -> Builder:
        return self._builder

    @builder.setter
    def builder(self, builder: Builder) -> None:
        """"""
        The Director works with any builder instance that the client code passes
        to it. This way, the client code may alter the final type of the newly
        assembled product.
        """"""
        self._builder = builder

    """"""
    The Director can construct several product variations using the same
    building steps.
    """"""

    def build_minimal_viable_product(self) -> None:
        self.builder.produce_part_a()

    def build_full_featured_product(self) -> None:
        self.builder.produce_part_a()
        self.builder.produce_part_b()
        self.builder.produce_part_c()


if __name__ == ""__main__"":
    """"""
    The client code creates a builder object, passes it to the director and then
    initiates the construction process. The end result is retrieved from the
    builder object.
    """"""

    director = Director()
    builder = ConcreteBuilder1()
    director.builder = builder

    print(""Standard basic product: "")
    director.build_minimal_viable_product()
    builder.product.list_parts()

    print(""\n"")

    print(""Standard full featured product: "")
    director.build_full_featured_product()
    builder.product.list_parts()

    print(""\n"")

    # Remember, the Builder pattern can be used without a Director class.
    print(""Custom product: "")
    builder.produce_part_a()
    builder.produce_part_b()
    builder.product.list_parts()",Python,Builder,Refactoring Guru,https://refactoring.guru/design-patterns/builder/python/example#example-0,"[ 1.09051645 -1.82416558  1.66120446 ...  0.09487461 -0.32178
 -1.14393139]"
"from __future__ import annotations
from abc import ABC, abstractmethod


class Creator(ABC):
    """"""
    The Creator class declares the factory method that is supposed to return an
    object of a Product class. The Creator's subclasses usually provide the
    implementation of this method.
    """"""

    @abstractmethod
    def factory_method(self):
        """"""
        Note that the Creator may also provide some default implementation of
        the factory method.
        """"""
        pass

    def some_operation(self) -> str:
        """"""
        Also note that, despite its name, the Creator's primary responsibility
        is not creating products. Usually, it contains some core business logic
        that relies on Product objects, returned by the factory method.
        Subclasses can indirectly change that business logic by overriding the
        factory method and returning a different type of product from it.
        """"""

        # Call the factory method to create a Product object.
        product = self.factory_method()

        # Now, use the product.
        result = f""Creator: The same creator's code has just worked with {product.operation()}""

        return result


""""""
Concrete Creators override the factory method in order to change the resulting
product's type.
""""""


class ConcreteCreator1(Creator):
    """"""
    Note that the signature of the method still uses the abstract product type,
    even though the concrete product is actually returned from the method. This
    way the Creator can stay independent of concrete product classes.
    """"""

    def factory_method(self) -> Product:
        return ConcreteProduct1()


class ConcreteCreator2(Creator):
    def factory_method(self) -> Product:
        return ConcreteProduct2()


class Product(ABC):
    """"""
    The Product interface declares the operations that all concrete products
    must implement.
    """"""

    @abstractmethod
    def operation(self) -> str:
        pass


""""""
Concrete Products provide various implementations of the Product interface.
""""""


class ConcreteProduct1(Product):
    def operation(self) -> str:
        return ""{Result of the ConcreteProduct1}""


class ConcreteProduct2(Product):
    def operation(self) -> str:
        return ""{Result of the ConcreteProduct2}""


def client_code(creator: Creator) -> None:
    """"""
    The client code works with an instance of a concrete creator, albeit through
    its base interface. As long as the client keeps working with the creator via
    the base interface, you can pass it any creator's subclass.
    """"""

    print(f""Client: I'm not aware of the creator's class, but it still works.\n""
          f""{creator.some_operation()}"", end="""")


if __name__ == ""__main__"":
    print(""App: Launched with the ConcreteCreator1."")
    client_code(ConcreteCreator1())
    print(""\n"")

    print(""App: Launched with the ConcreteCreator2."")
    client_code(ConcreteCreator2())",Python,Factory,Refactoring Guru,https://refactoring.guru/design-patterns/factory-method/python/example#example-0,"[ 0.18027852 -0.87685055  1.12413716 ... -0.12313407  0.30411768
 -1.55911386]"
"import copy


class SelfReferencingEntity:
    def __init__(self):
        self.parent = None

    def set_parent(self, parent):
        self.parent = parent


class SomeComponent:
    """"""
    Python provides its own interface of Prototype via `copy.copy` and
    `copy.deepcopy` functions. And any class that wants to implement custom
    implementations have to override `__copy__` and `__deepcopy__` member
    functions.
    """"""

    def __init__(self, some_int, some_list_of_objects, some_circular_ref):
        self.some_int = some_int
        self.some_list_of_objects = some_list_of_objects
        self.some_circular_ref = some_circular_ref

    def __copy__(self):
        """"""
        Create a shallow copy. This method will be called whenever someone calls
        `copy.copy` with this object and the returned value is returned as the
        new shallow copy.
        """"""

        # First, let's create copies of the nested objects.
        some_list_of_objects = copy.copy(self.some_list_of_objects)
        some_circular_ref = copy.copy(self.some_circular_ref)

        # Then, let's clone the object itself, using the prepared clones of the
        # nested objects.
        new = self.__class__(
            self.some_int, some_list_of_objects, some_circular_ref
        )
        new.__dict__.update(self.__dict__)

        return new

    def __deepcopy__(self, memo=None):
        """"""
        Create a deep copy. This method will be called whenever someone calls
        `copy.deepcopy` with this object and the returned value is returned as
        the new deep copy.

        What is the use of the argument `memo`? Memo is the dictionary that is
        used by the `deepcopy` library to prevent infinite recursive copies in
        instances of circular references. Pass it to all the `deepcopy` calls
        you make in the `__deepcopy__` implementation to prevent infinite
        recursions.
        """"""
        if memo is None:
            memo = {}

        # First, let's create copies of the nested objects.
        some_list_of_objects = copy.deepcopy(self.some_list_of_objects, memo)
        some_circular_ref = copy.deepcopy(self.some_circular_ref, memo)

        # Then, let's clone the object itself, using the prepared clones of the
        # nested objects.
        new = self.__class__(
            self.some_int, some_list_of_objects, some_circular_ref
        )
        new.__dict__ = copy.deepcopy(self.__dict__, memo)

        return new


if __name__ == ""__main__"":

    list_of_objects = [1, {1, 2, 3}, [1, 2, 3]]
    circular_ref = SelfReferencingEntity()
    component = SomeComponent(23, list_of_objects, circular_ref)
    circular_ref.set_parent(component)

    shallow_copied_component = copy.copy(component)

    # Let's change the list in shallow_copied_component and see if it changes in
    # component.
    shallow_copied_component.some_list_of_objects.append(""another object"")
    if component.some_list_of_objects[-1] == ""another object"":
        print(
            ""Adding elements to `shallow_copied_component`'s ""
            ""some_list_of_objects adds it to `component`'s ""
            ""some_list_of_objects.""
        )
    else:
        print(
            ""Adding elements to `shallow_copied_component`'s ""
            ""some_list_of_objects doesn't add it to `component`'s ""
            ""some_list_of_objects.""
        )

    # Let's change the set in the list of objects.
    component.some_list_of_objects[1].add(4)
    if 4 in shallow_copied_component.some_list_of_objects[1]:
        print(
            ""Changing objects in the `component`'s some_list_of_objects ""
            ""changes that object in `shallow_copied_component`'s ""
            ""some_list_of_objects.""
        )
    else:
        print(
            ""Changing objects in the `component`'s some_list_of_objects ""
            ""doesn't change that object in `shallow_copied_component`'s ""
            ""some_list_of_objects.""
        )

    deep_copied_component = copy.deepcopy(component)

    # Let's change the list in deep_copied_component and see if it changes in
    # component.
    deep_copied_component.some_list_of_objects.append(""one more object"")
    if component.some_list_of_objects[-1] == ""one more object"":
        print(
            ""Adding elements to `deep_copied_component`'s ""
            ""some_list_of_objects adds it to `component`'s ""
            ""some_list_of_objects.""
        )
    else:
        print(
            ""Adding elements to `deep_copied_component`'s ""
            ""some_list_of_objects doesn't add it to `component`'s ""
            ""some_list_of_objects.""
        )

    # Let's change the set in the list of objects.
    component.some_list_of_objects[1].add(10)
    if 10 in deep_copied_component.some_list_of_objects[1]:
        print(
            ""Changing objects in the `component`'s some_list_of_objects ""
            ""changes that object in `deep_copied_component`'s ""
            ""some_list_of_objects.""
        )
    else:
        print(
            ""Changing objects in the `component`'s some_list_of_objects ""
            ""doesn't change that object in `deep_copied_component`'s ""
            ""some_list_of_objects.""
        )

    print(
        f""id(deep_copied_component.some_circular_ref.parent): ""
        f""{id(deep_copied_component.some_circular_ref.parent)}""
    )
    print(
        f""id(deep_copied_component.some_circular_ref.parent.some_circular_ref.parent): ""
        f""{id(deep_copied_component.some_circular_ref.parent.some_circular_ref.parent)}""
    )
    print(
        ""^^ This shows that deepcopied objects contain same reference, they ""
        ""are not cloned repeatedly.""
    )",Python,Prototype,Refactoring Guru,https://refactoring.guru/design-patterns/prototype/python/example#example-0,"[ 0.90664464 -0.3905358   0.62154257 ... -0.47561631 -0.0237145
 -1.99210775]"
"class Target:
    """"""
    The Target defines the domain-specific interface used by the client code.
    """"""

    def request(self) -> str:
        return ""Target: The default target's behavior.""


class Adaptee:
    """"""
    The Adaptee contains some useful behavior, but its interface is incompatible
    with the existing client code. The Adaptee needs some adaptation before the
    client code can use it.
    """"""

    def specific_request(self) -> str:
        return "".eetpadA eht fo roivaheb laicepS""


class Adapter(Target, Adaptee):
    """"""
    The Adapter makes the Adaptee's interface compatible with the Target's
    interface via multiple inheritance.
    """"""

    def request(self) -> str:
        return f""Adapter: (TRANSLATED) {self.specific_request()[::-1]}""


def client_code(target: ""Target"") -> None:
    """"""
    The client code supports all classes that follow the Target interface.
    """"""

    print(target.request(), end="""")


if __name__ == ""__main__"":
    print(""Client: I can work just fine with the Target objects:"")
    target = Target()
    client_code(target)
    print(""\n"")

    adaptee = Adaptee()
    print(""Client: The Adaptee class has a weird interface. ""
          ""See, I don't understand it:"")
    print(f""Adaptee: {adaptee.specific_request()}"", end=""\n\n"")

    print(""Client: But I can work with it via the Adapter:"")
    adapter = Adapter()
    client_code(adapter)",Python,Adapter,Refactoring Guru,https://refactoring.guru/design-patterns/adapter/python/example#example-0,"[-1.26711714 -0.65013546  1.75939882 ...  1.59504604 -0.22831796
 -0.27593046]"
"from __future__ import annotations
from abc import ABC, abstractmethod


class Abstraction:
    """"""
    The Abstraction defines the interface for the ""control"" part of the two
    class hierarchies. It maintains a reference to an object of the
    Implementation hierarchy and delegates all of the real work to this object.
    """"""

    def __init__(self, implementation: Implementation) -> None:
        self.implementation = implementation

    def operation(self) -> str:
        return (f""Abstraction: Base operation with:\n""
                f""{self.implementation.operation_implementation()}"")


class ExtendedAbstraction(Abstraction):
    """"""
    You can extend the Abstraction without changing the Implementation classes.
    """"""

    def operation(self) -> str:
        return (f""ExtendedAbstraction: Extended operation with:\n""
                f""{self.implementation.operation_implementation()}"")


class Implementation(ABC):
    """"""
    The Implementation defines the interface for all implementation classes. It
    doesn't have to match the Abstraction's interface. In fact, the two
    interfaces can be entirely different. Typically the Implementation interface
    provides only primitive operations, while the Abstraction defines higher-
    level operations based on those primitives.
    """"""

    @abstractmethod
    def operation_implementation(self) -> str:
        pass


""""""
Each Concrete Implementation corresponds to a specific platform and implements
the Implementation interface using that platform's API.
""""""


class ConcreteImplementationA(Implementation):
    def operation_implementation(self) -> str:
        return ""ConcreteImplementationA: Here's the result on the platform A.""


class ConcreteImplementationB(Implementation):
    def operation_implementation(self) -> str:
        return ""ConcreteImplementationB: Here's the result on the platform B.""


def client_code(abstraction: Abstraction) -> None:
    """"""
    Except for the initialization phase, where an Abstraction object gets linked
    with a specific Implementation object, the client code should only depend on
    the Abstraction class. This way the client code can support any abstraction-
    implementation combination.
    """"""

    # ...

    print(abstraction.operation(), end="""")

    # ...


if __name__ == ""__main__"":
    """"""
    The client code should be able to work with any pre-configured abstraction-
    implementation combination.
    """"""

    implementation = ConcreteImplementationA()
    abstraction = Abstraction(implementation)
    client_code(abstraction)

    print(""\n"")

    implementation = ConcreteImplementationB()
    abstraction = ExtendedAbstraction(implementation)
    client_code(abstraction)",Python,Bridge,Refactoring Guru,https://refactoring.guru/design-patterns/bridge/python/example#example-0,"[-0.2896449  -0.70099539  1.50464332 ...  0.16899858 -0.0424125
 -0.78497392]"
"from __future__ import annotations
from abc import ABC, abstractmethod
from typing import List


class Component(ABC):
    """"""
    The base Component class declares common operations for both simple and
    complex objects of a composition.
    """"""

    @property
    def parent(self) -> Component:
        return self._parent

    @parent.setter
    def parent(self, parent: Component):
        """"""
        Optionally, the base Component can declare an interface for setting and
        accessing a parent of the component in a tree structure. It can also
        provide some default implementation for these methods.
        """"""

        self._parent = parent

    """"""
    In some cases, it would be beneficial to define the child-management
    operations right in the base Component class. This way, you won't need to
    expose any concrete component classes to the client code, even during the
    object tree assembly. The downside is that these methods will be empty for
    the leaf-level components.
    """"""

    def add(self, component: Component) -> None:
        pass

    def remove(self, component: Component) -> None:
        pass

    def is_composite(self) -> bool:
        """"""
        You can provide a method that lets the client code figure out whether a
        component can bear children.
        """"""

        return False

    @abstractmethod
    def operation(self) -> str:
        """"""
        The base Component may implement some default behavior or leave it to
        concrete classes (by declaring the method containing the behavior as
        ""abstract"").
        """"""

        pass


class Leaf(Component):
    """"""
    The Leaf class represents the end objects of a composition. A leaf can't
    have any children.

    Usually, it's the Leaf objects that do the actual work, whereas Composite
    objects only delegate to their sub-components.
    """"""

    def operation(self) -> str:
        return ""Leaf""


class Composite(Component):
    """"""
    The Composite class represents the complex components that may have
    children. Usually, the Composite objects delegate the actual work to their
    children and then ""sum-up"" the result.
    """"""

    def __init__(self) -> None:
        self._children: List[Component] = []

    """"""
    A composite object can add or remove other components (both simple or
    complex) to or from its child list.
    """"""

    def add(self, component: Component) -> None:
        self._children.append(component)
        component.parent = self

    def remove(self, component: Component) -> None:
        self._children.remove(component)
        component.parent = None

    def is_composite(self) -> bool:
        return True

    def operation(self) -> str:
        """"""
        The Composite executes its primary logic in a particular way. It
        traverses recursively through all its children, collecting and summing
        their results. Since the composite's children pass these calls to their
        children and so forth, the whole object tree is traversed as a result.
        """"""

        results = []
        for child in self._children:
            results.append(child.operation())
        return f""Branch({'+'.join(results)})""


def client_code(component: Component) -> None:
    """"""
    The client code works with all of the components via the base interface.
    """"""

    print(f""RESULT: {component.operation()}"", end="""")


def client_code2(component1: Component, component2: Component) -> None:
    """"""
    Thanks to the fact that the child-management operations are declared in the
    base Component class, the client code can work with any component, simple or
    complex, without depending on their concrete classes.
    """"""

    if component1.is_composite():
        component1.add(component2)

    print(f""RESULT: {component1.operation()}"", end="""")


if __name__ == ""__main__"":
    # This way the client code can support the simple leaf components...
    simple = Leaf()
    print(""Client: I've got a simple component:"")
    client_code(simple)
    print(""\n"")

    # ...as well as the complex composites.
    tree = Composite()

    branch1 = Composite()
    branch1.add(Leaf())
    branch1.add(Leaf())

    branch2 = Composite()
    branch2.add(Leaf())

    tree.add(branch1)
    tree.add(branch2)

    print(""Client: Now I've got a composite tree:"")
    client_code(tree)
    print(""\n"")

    print(""Client: I don't need to check the components classes even when managing the tree:"")
    client_code2(tree, simple)",Python,Composite,Refactoring Guru,https://refactoring.guru/design-patterns/composite/python/example#example-0,"[-0.08276589 -0.30414918  0.73258358 ...  1.61133301 -0.97934264
 -1.29250216]"
"class Component():
    """"""
    The base Component interface defines operations that can be altered by
    decorators.
    """"""

    def operation(self) -> str:
        pass


class ConcreteComponent(Component):
    """"""
    Concrete Components provide default implementations of the operations. There
    might be several variations of these classes.
    """"""

    def operation(self) -> str:
        return ""ConcreteComponent""


class Decorator(Component):
    """"""
    The base Decorator class follows the same interface as the other components.
    The primary purpose of this class is to define the wrapping interface for
    all concrete decorators. The default implementation of the wrapping code
    might include a field for storing a wrapped component and the means to
    initialize it.
    """"""

    _component: Component = None

    def __init__(self, component: Component) -> None:
        self._component = component

    @property
    def component(self) -> Component:
        """"""
        The Decorator delegates all work to the wrapped component.
        """"""

        return self._component

    def operation(self) -> str:
        return self._component.operation()


class ConcreteDecoratorA(Decorator):
    """"""
    Concrete Decorators call the wrapped object and alter its result in some
    way.
    """"""

    def operation(self) -> str:
        """"""
        Decorators may call parent implementation of the operation, instead of
        calling the wrapped object directly. This approach simplifies extension
        of decorator classes.
        """"""
        return f""ConcreteDecoratorA({self.component.operation()})""


class ConcreteDecoratorB(Decorator):
    """"""
    Decorators can execute their behavior either before or after the call to a
    wrapped object.
    """"""

    def operation(self) -> str:
        return f""ConcreteDecoratorB({self.component.operation()})""


def client_code(component: Component) -> None:
    """"""
    The client code works with all objects using the Component interface. This
    way it can stay independent of the concrete classes of components it works
    with.
    """"""

    # ...

    print(f""RESULT: {component.operation()}"", end="""")

    # ...


if __name__ == ""__main__"":
    # This way the client code can support both simple components...
    simple = ConcreteComponent()
    print(""Client: I've got a simple component:"")
    client_code(simple)
    print(""\n"")

    # ...as well as decorated ones.
    #
    # Note how decorators can wrap not only simple components but the other
    # decorators as well.
    decorator1 = ConcreteDecoratorA(simple)
    decorator2 = ConcreteDecoratorB(decorator1)
    print(""Client: Now I've got a decorated component:"")
    client_code(decorator2)",Python,Decorator,Refactoring Guru,https://refactoring.guru/design-patterns/decorator/python/example#example-0,"[-1.17507899 -0.2962909   1.43602991 ...  1.22295499 -0.90588427
 -1.01241755]"
"from __future__ import annotations


class Facade:
    """"""
    The Facade class provides a simple interface to the complex logic of one or
    several subsystems. The Facade delegates the client requests to the
    appropriate objects within the subsystem. The Facade is also responsible for
    managing their lifecycle. All of this shields the client from the undesired
    complexity of the subsystem.
    """"""

    def __init__(self, subsystem1: Subsystem1, subsystem2: Subsystem2) -> None:
        """"""
        Depending on your application's needs, you can provide the Facade with
        existing subsystem objects or force the Facade to create them on its
        own.
        """"""

        self._subsystem1 = subsystem1 or Subsystem1()
        self._subsystem2 = subsystem2 or Subsystem2()

    def operation(self) -> str:
        """"""
        The Facade's methods are convenient shortcuts to the sophisticated
        functionality of the subsystems. However, clients get only to a fraction
        of a subsystem's capabilities.
        """"""

        results = []
        results.append(""Facade initializes subsystems:"")
        results.append(self._subsystem1.operation1())
        results.append(self._subsystem2.operation1())
        results.append(""Facade orders subsystems to perform the action:"")
        results.append(self._subsystem1.operation_n())
        results.append(self._subsystem2.operation_z())
        return ""\n"".join(results)


class Subsystem1:
    """"""
    The Subsystem can accept requests either from the facade or client directly.
    In any case, to the Subsystem, the Facade is yet another client, and it's
    not a part of the Subsystem.
    """"""

    def operation1(self) -> str:
        return ""Subsystem1: Ready!""

    # ...

    def operation_n(self) -> str:
        return ""Subsystem1: Go!""


class Subsystem2:
    """"""
    Some facades can work with multiple subsystems at the same time.
    """"""

    def operation1(self) -> str:
        return ""Subsystem2: Get ready!""

    # ...

    def operation_z(self) -> str:
        return ""Subsystem2: Fire!""


def client_code(facade: Facade) -> None:
    """"""
    The client code works with complex subsystems through a simple interface
    provided by the Facade. When a facade manages the lifecycle of the
    subsystem, the client might not even know about the existence of the
    subsystem. This approach lets you keep the complexity under control.
    """"""

    print(facade.operation(), end="""")


if __name__ == ""__main__"":
    # The client code may have some of the subsystem's objects already created.
    # In this case, it might be worthwhile to initialize the Facade with these
    # objects instead of letting the Facade create new instances.
    subsystem1 = Subsystem1()
    subsystem2 = Subsystem2()
    facade = Facade(subsystem1, subsystem2)
    client_code(facade)",Python,Facade,Refactoring Guru,https://refactoring.guru/design-patterns/facade/python/example#example-0,"[-0.23911186 -1.63634741  0.58817583 ...  0.37937722 -0.81472778
 -1.66053843]"
"import json
from typing import Dict


class Flyweight():
    """"""
    The Flyweight stores a common portion of the state (also called intrinsic
    state) that belongs to multiple real business entities. The Flyweight
    accepts the rest of the state (extrinsic state, unique for each entity) via
    its method parameters.
    """"""

    def __init__(self, shared_state: str) -> None:
        self._shared_state = shared_state

    def operation(self, unique_state: str) -> None:
        s = json.dumps(self._shared_state)
        u = json.dumps(unique_state)
        print(f""Flyweight: Displaying shared ({s}) and unique ({u}) state."", end="""")


class FlyweightFactory():
    """"""
    The Flyweight Factory creates and manages the Flyweight objects. It ensures
    that flyweights are shared correctly. When the client requests a flyweight,
    the factory either returns an existing instance or creates a new one, if it
    doesn't exist yet.
    """"""

    _flyweights: Dict[str, Flyweight] = {}

    def __init__(self, initial_flyweights: Dict) -> None:
        for state in initial_flyweights:
            self._flyweights[self.get_key(state)] = Flyweight(state)

    def get_key(self, state: Dict) -> str:
        """"""
        Returns a Flyweight's string hash for a given state.
        """"""

        return ""_"".join(sorted(state))

    def get_flyweight(self, shared_state: Dict) -> Flyweight:
        """"""
        Returns an existing Flyweight with a given state or creates a new one.
        """"""

        key = self.get_key(shared_state)

        if not self._flyweights.get(key):
            print(""FlyweightFactory: Can't find a flyweight, creating new one."")
            self._flyweights[key] = Flyweight(shared_state)
        else:
            print(""FlyweightFactory: Reusing existing flyweight."")

        return self._flyweights[key]

    def list_flyweights(self) -> None:
        count = len(self._flyweights)
        print(f""FlyweightFactory: I have {count} flyweights:"")
        print(""\n"".join(map(str, self._flyweights.keys())), end="""")


def add_car_to_police_database(
    factory: FlyweightFactory, plates: str, owner: str,
    brand: str, model: str, color: str
) -> None:
    print(""\n\nClient: Adding a car to database."")
    flyweight = factory.get_flyweight([brand, model, color])
    # The client code either stores or calculates extrinsic state and passes it
    # to the flyweight's methods.
    flyweight.operation([plates, owner])


if __name__ == ""__main__"":
    """"""
    The client code usually creates a bunch of pre-populated flyweights in the
    initialization stage of the application.
    """"""

    factory = FlyweightFactory([
        [""Chevrolet"", ""Camaro2018"", ""pink""],
        [""Mercedes Benz"", ""C300"", ""black""],
        [""Mercedes Benz"", ""C500"", ""red""],
        [""BMW"", ""M5"", ""red""],
        [""BMW"", ""X6"", ""white""],
    ])

    factory.list_flyweights()

    add_car_to_police_database(
        factory, ""CL234IR"", ""James Doe"", ""BMW"", ""M5"", ""red"")

    add_car_to_police_database(
        factory, ""CL234IR"", ""James Doe"", ""BMW"", ""X1"", ""red"")

    print(""\n"")

    factory.list_flyweights()",Python,Flyweight,Refactoring Guru,https://refactoring.guru/design-patterns/flyweight/python/example#example-0,"[ 1.12498891 -2.0959363   1.43849111 ... -0.91934186 -1.38236988
 -1.68084633]"
